"Player","Pos","PassYds","PassTDs","PassInts","RushYds","RushTDs","Fumbles","Receptions","RecYds","RecTDs","TwoPts","Team"
"Juwann Winfree","WR",0,0,0,0,0,0,14.4,167.7,1.2,0,"GB"
"K.J. Osborn","WR",0,0,0,2.5,0,0.6,48.8,630.5,4.9,0,"MIN"
"Kadarius Toney","WR",0,0,0,52.5,0.2,0.8,64.8,740.3,3.8,0,"NYG"
"Kalif Raymond","WR",0,0,0,4.2,0,0.1,7.7,101.7,0.7,0,"DET"
"Keelan Cole Sr.","WR",0,0,0,0.3,0,0,20.2,292.8,1.7,0,"LV"
"Keelan Doss","WR",0,0,0,0,0,0,7.2,79.4,0.4,0,"NYG"
"Keenan Allen","WR",0,0,0,0.5,0,0.8,102.5,1105.1,6.8,0,"LAC"
"KeeSean Johnson","WR",0,0,0,0,0,0,3,30.9,0.3,0,"SF"
"Keke Coutee","WR",0,0,0,0,0,0,17.8,204.1,1.3,0,"IND"
"Kelvin Harmon","WR",0,0,0,0,0,0,0,0,0,0,"WAS"
"Kendall Hinton","WR",0,0,0,0,0,0,3.7,42.3,0.3,0,"DEN"
"Kendrick Bourne","WR",0,0,0,46.5,0.1,0.7,35.8,462,2.7,0,"NE"
"Kenny Golladay","WR",0,0,0,0,0,0.7,57,825.3,4.6,0,"NYG"
"Kevin White","WR",0,0,0,0,0,0,0,0,0,0,"NO"
"KhaDarel Hodge","WR",0,0,0,0,0,0,4.6,56.2,0.3,0,"ATL"
"Khalil Shakir","WR",0,0,0,6,0.1,0,6.4,81.3,0.7,0,"BUF"
"Kirk Merritt","WR",0,0,0,0,0,0,0,0,0,0,"NO"
"KJ Hamler","WR",0,0,0,5.8,0,0.6,23,306.1,2,0,"DEN"
"Kristian Wilkerson","WR",0,0,0,0,0,0,3.4,39.3,0.3,0,"NE"
"Kyle Philips","WR",0,0,0,0,0,0,6.5,76.4,0.5,0,"TEN"
"Laquon Treadwell","WR",0,0,0,0,0,0.1,11.9,140.8,0.9,0,"JAC"
"Laviska Shenault Jr.","WR",0,0,0,62.1,0.5,0.6,35.8,372.4,2.2,0,"JAC"
"Lawrence Cager","WR",0,0,0,0,0,0,0,0,0,0,"NYJ"
"Lil'Jordan Humphrey","WR",0,0,0,0,0,0,0,0,0,0,"NE"
"Lynn Bowden Jr.","WR",0,0,0,28.5,0.2,0,7.3,73.3,0.5,0,"MIA"
"Mack Hollins","WR",0,0,0,0,0,0,5.1,64.9,0.5,0,"LV"
"Malcolm Perry","WR",0,0,0,0,0,0,0,0,0,0,"NE"
"Malik Taylor","WR",0,0,0,0,0,0,3.6,43.2,0.3,0,"GB"
"Malik Turner","WR",0,0,0,0,0,0,3.2,35.2,0.3,0,"SF"
"Marcus Johnson","WR",0,0,0,0,0,0,7.5,92.2,0.7,0,"SF"
"Marquez Callaway","WR",0,0,0,13.4,0.1,0,19.2,267.6,1.9,0,"NO"
"Marquez Stevenson","WR",0,0,0,0,0,0,3.5,41.1,0.3,0,"BUF"
"Marquez Valdes-Scantling","WR",0,0,0,4,0,0.1,41.4,683.7,4.7,0,"KC"
"Marquise Brown","WR",0,0,0,8.4,0.1,0.9,75.9,934.3,5.8,0,"ARI"
"Marquise Goodwin","WR",0,0,0,0,0,0,4.8,66.8,0.3,0,"SEA"
"Marvin Jones Jr.","WR",0,0,0,0,0,0.6,56,663.9,5,0,"JAC"
"Mason Kinsey","WR",0,0,0,0,0,0,0,0,0,0,"TEN"
"Maurice Ffrench","WR",0,0,0,0,0,0,0,0,0,0,"LAC"
"Mecole Hardman","WR",0,0,0,59.8,0.5,1.3,51.9,646.1,4.1,0,"KC"
"Michael Gallup","WR",0,0,0,0,0,0.6,55.5,767.5,5.4,0,"DAL"
"Michael Pittman Jr.","WR",0,0,0,28.4,0,0.8,88.7,1099.8,6.4,0,"IND"
"Michael Thomas","WR",0,0,0,-1,0,0.7,80.5,943.6,5.7,0,"NO"
"Mike Evans","WR",0,0,0,1.8,0,0.7,82.7,1151.4,10.7,0,"TB"
"Mike Strachan","WR",0,0,0,0,0,0,5.8,68,0.5,0,"IND"
"Mike Thomas","WR",0,0,0,0,0,0,5.1,58.4,0.4,0,"CIN"
"Mike Williams","WR",0,0,0,0.3,0,0.6,71,1058.9,7.8,0,"LAC"
"Miles Boykin","WR",0,0,0,0,0,0,13.2,162.8,1.1,0,"PIT"
"N'Keal Harry","WR",0,0,0,0,0,0,6.7,73,0.5,0,"CHI"
"Nelson Agholor","WR",0,0,0,9.4,0.1,0.1,32.3,435.1,2.5,0,"NE"
"Nick Westbrook-Ikhine","WR",0,0,0,0,0,0.7,41,515.9,3.7,0,"TEN"
"Nico Collins","WR",0,0,0,0,0,0.2,44.7,579.8,3,0,"HOU"
"Noah Brown","WR",0,0,0,0.3,0,0.1,23.8,272.2,1.7,0,"DAL"
"Nsimba Webster","WR",0,0,0,0,0,0,6,76.7,0.4,0,"CHI"
"Olamide Zaccheaus","WR",0,0,0,0,0,0.2,26.3,330.1,1.7,0,"ATL"
"Parris Campbell","WR",0,0,0,6.8,0,0.1,38.7,491.9,3.1,0,"IND"
"Penny Hart","WR",0,0,0,0,0,0,7.9,84.5,0.5,0,"SEA"
"Phillip Dorsett II","WR",0,0,0,6.6,0,0.1,18.8,229.9,1.2,0,"HOU"
"Preston Williams","WR",0,0,0,0,0,0,4.2,49.7,0.4,0,"MIA"
"Quez Watkins","WR",0,0,0,0,0,0.1,22.9,291.7,1.8,0,"PHI"
"Quintez Cephus","WR",0,0,0,0,0,0,17.1,229.5,2.1,0,"DET"
"Racey McMath","WR",0,0,0,0,0,0.1,6.5,78.7,0.5,0,"TEN"
"Randall Cobb","WR",0,0,0,3.7,0,0.7,40.3,507.1,4.5,0,"GB"
"Rashard Higgins","WR",0,0,0,0,0,0.1,18.2,244.3,1.2,0,"CAR"
"Rashod Bateman","WR",0,0,0,0,0,0.8,73,923.7,5,0,"BAL"
"Ray-Ray McCloud","WR",0,0,0,0,0,0,10.1,94.7,0.8,0,"SF"
"Richie James Jr.","WR",0,0,0,0,0,0.1,7.9,100,0.5,0,"NYG"
"Rico Gafford","WR",0,0,0,0,0,0,0,0,0,0,"GB"
"River Cracraft","WR",0,0,0,0,0,0,0,0,0,0,"MIA"
"Robbie Anderson","WR",0,0,0,23.7,0.1,0.7,59,747.9,4.9,0,"CAR"
"Robert Foster","WR",0,0,0,0,0,0,0,0,0,0,"NYG"
"Robert Woods","WR",0,0,0,51.5,0.6,0.7,68.9,802.6,4.6,0,"TEN"
"Romeo Doubs","WR",0,0,0,0,0,0.1,17.6,213.4,1.9,0,"GB"
"Rondale Moore","WR",0,0,0,82.5,0.5,0.9,57.8,552.9,3,0,"ARI"
"Russell Gage","WR",0,0,0,1,0,1.3,66.5,776.2,5.8,0,"TB"
"Sammy Watkins","WR",0,0,0,4.4,0,0.7,36.7,479.5,3,0,"GB"
"Samori Toure","WR",0,0,0,0,0,0,6.8,80.7,0.7,0,"GB"
"Scotty Miller","WR",0,0,0,1.5,0,0.1,6.2,78.5,0.5,0,"TB"
"Seth Williams","WR",0,0,0,0,0,0,3.7,42.5,0.3,0,"DEN"
"Shi Smith","WR",0,0,0,0,0,0,5,61.3,0.3,0,"CAR"
"Simi Fehoko","WR",0,0,0,0,0,0,11,155,1,0,"DAL"
"Skyy Moore","WR",0,0,0,3,0,1.2,45.2,602.1,4.6,0,"KC"
"Stanley Morgan Jr.","WR",0,0,0,0,0,0,4.3,48.4,0.3,0,"CIN"
"Stefon Diggs","WR",0,0,0,2.5,0,0.8,101.3,1245.6,9.2,0,"BUF"
"Sterling Shepard","WR",0,0,0,5.5,0,0.6,54,528.4,2.5,0,"NYG"
"Steven Sims Jr.","WR",0,0,0,0,0,0,3.7,39.3,0.2,0,"PIT"
"T.J. Vasher","WR",0,0,0,0,0,0,5.6,64.8,0.5,0,"DAL"
"Tajae Sharpe","WR",0,0,0,0,0,0.1,9.9,119.2,0.7,0,"CHI"
"Tanner Gentry","WR",0,0,0,0,0,0,0,0,0,0,"BUF"
"Tavon Austin","WR",0,0,0,0,0,0,0,0,0,0,"BUF"
"Tee Higgins","WR",0,0,0,1,0,0.8,82.9,1131.7,7.5,0,"CIN"
"Terrace Marshall Jr.","WR",0,0,0,0,0,0.3,30.4,362.2,2,0,"CAR"
"Terry McLaurin","WR",0,0,0,3.3,0,0.7,80.1,1080.1,6,0,"WAS"
"Tim Patrick","WR",0,0,0,0,0,0.7,52.9,719.8,5.4,0,"DEN"
"Tom Kennedy","WR",0,0,0,0,0,0,0,0,0,0,"DET"
"Travis Fulgham","WR",0,0,0,0,0,0,2.6,31.1,0.3,0,"DEN"
"Tre Nixon","WR",0,0,0,0,0,0,1.7,19.4,0.1,0,"NE"
"Tre'Quan Smith","WR",0,0,0,0,0,0.1,6.6,82.7,0.6,0,"NO"
"Trent Sherfield","WR",0,0,0,0,0,0.1,12.7,150.1,0.9,0,"MIA"
"Trent Taylor","WR",0,0,0,0,0,0,6.1,64,0.5,0,"CIN"
"Trenton Irwin","WR",0,0,0,0,0,0,3.6,40.1,0.3,0,"CIN"
"Treylon Burks","WR",0,0,0,15,0.1,1.2,61.1,867.5,4.9,0,"TEN"
"Trinity Benson","WR",0,0,0,0,0,0,3.4,39.8,0.2,0,"DET"
"Tutu Atwell","WR",0,0,0,0,0,0.2,14.7,183.7,1.3,0,"LAR"
"Ty Montgomery","WR",0,0,0,56.9,0.5,0,7.4,63.1,0.5,0,"NE"
"Tylan Wallace","WR",0,0,0,0,0,0.2,21.6,262.7,1.9,0,"BAL"
"Tyler Boyd","WR",0,0,0,16.8,0,0.7,65.1,741.2,4.2,0,"CIN"
"Tyler Johnson","WR",0,0,0,0,0,0,10.9,133.3,1,0,"TB"
"Tyler Lockett","WR",0,0,0,11.1,0.1,0.7,76.5,986.5,5.1,0,"SEA"
"Tyquan Thornton","WR",0,0,0,0,0,0.1,17.5,206.8,1.3,0,"NE"
"Tyreek Hill","WR",0,0,0,60,0.4,0.8,92.2,1144.8,7.6,0,"MIA"
"Tyrie Cleveland","WR",0,0,0,0,0,0,4.3,50,0.4,0,"DEN"
"Tyron Johnson","WR",0,0,0,0,0,0,4.5,57.1,0.4,0,"LV"
"Van Jefferson","WR",0,0,0,18.8,0.1,0.2,45.2,641,4.6,0,"LAR"
"Velus Jones Jr.","WR",0,0,0,12.7,0.1,0.3,37.7,482.5,3.2,0,"CHI"
"Vyncint Smith","WR",0,0,0,0,0,0,0,0,0,0,"TB"
"Wan'Dale Robinson","WR",0,0,0,16,0.1,0.3,31.3,354.2,1.6,0,"NYG"
"Zach Pascal","WR",0,0,0,0,0,0.1,13.4,159.2,1.4,0,"PHI"
"Zay Jones","WR",0,0,0,0.8,0,0.6,40.1,466.1,2.6,0,"JAC"
"Adam Shaheen","TE",0,0,0,0,0,0,7.8,74.1,0.5,0,"MIA"
"Adam Trautman","TE",0,0,0,0,0,0.6,36.2,383.2,2.6,0,"NO"
"Albert Okwuegbunam","TE",0,0,0,0,0,0.7,53.1,554.4,4.9,0,"DEN"
"Alex Ellis","TE",0,0,0,0,0,0,0,0,0,0,"ARI"
"Alize Mack","TE",0,0,0,0,0,0,12,122,1,0,"GB"
"Andrew Ogletree","TE",0,0,0,0,0,0,5.9,60.3,0.6,0,"IND"
"Anthony Firkser","TE",0,0,0,0,0,0.6,25.9,242.9,1.4,0,"ATL"
"Antony Auclair","TE",0,0,0,0,0,0.1,5.9,57.3,0.4,0,"HOU"
"Austin Hooper","TE",0,0,0,0,0,0.6,56,525.4,4.5,0,"TEN"
"Ben Ellefson","TE",0,0,0,0,0,0,5.6,55.1,0.6,0,"MIN"
"Blake Bell","TE",0,0,0,0,0,0,10.5,100.2,0.8,0,"KC"
"Brevin Jordan","TE",0,0,0,0,0,0.2,39.4,381.4,3.2,0,"HOU"
"Brock Wright","TE",0,0,0,0,0,0,12.1,115.9,1.3,0,"DET"
"Brycen Hopkins","TE",0,0,0,0,0,0,6,65.6,0.5,0,"LAR"
"C.J. Uzomah","TE",0,0,0,0,0,0.1,40.1,383.8,2.6,0,"NYJ"
"Cade Otton","TE",0,0,0,0,0,0.6,26,273.7,2.4,0,"TB"
"Cameron Brate","TE",0,0,0,0,0,0.7,44,417.9,4.4,0,"TB"
"Cethan Carter","TE",0,0,0,0,0,0,0,0,0,0,"MIA"
"Charlie Kolar","TE",0,0,0,0,0,0,6.9,72.3,0.7,0,"BAL"
"Charlie Woerner","TE",0,0,0,0,0,0,6.8,66.8,0.7,0,"SF"
"Chigoziem Okonkwo","TE",0,0,0,0,0,0,5.3,55.8,0.5,0,"TEN"
"Chris Manhertz","TE",0,0,0,0,0,0,6.5,69.5,0.9,0,"JAC"
"Chris Myarick","TE",0,0,0,0,0,0,0,0,0,0,"NYG"
"Codey McElroy","TE",0,0,0,0,0,0,2.1,22.4,0.2,0,"TB"
"Colby Parkinson","TE",0,0,0,0,0,0.1,7.2,68.2,0.5,0,"SEA"
"Cole Kmet","TE",0,0,0,0,0,0.7,61.3,638.4,3.6,0,"CHI"
"Cole Turner","TE",0,0,0,0,0,0,8.1,75.7,0.7,0,"WAS"
"Colin Thompson","TE",0,0,0,0,0,0,0,0,0,0,"CAR"
"Connor Heyward","TE",0,0,0,0,0,0.1,11.5,116,0.7,0,"PIT"
"Dallas Goedert","TE",0,0,0,0,0,0.7,62,754.1,5,0,"PHI"
"Dalton Schultz","TE",0,0,0,0,0,0.7,74.6,746.2,5.9,0,"DAL"
"Dan Arnold","TE",0,0,0,0,0,0.7,28,330.1,1.8,0,"JAC"
"Daniel Bellinger","TE",0,0,0,0,0,0.2,15.9,166.5,0.8,0,"NYG"
"Darren Waller","TE",0,0,0,0,0,0.7,80.5,972.5,5.1,0,"LV"
"David Njoku","TE",0,0,0,0,0,0.1,46.6,568.7,4.5,0,"CLE"
"Dawson Knox","TE",0,0,0,0,0,0.1,48.6,578.9,6,0,"BUF"
"Deon Yelder","TE",0,0,0,0,0,0,0,0,0,0,"ARI"
"Devin Asiasi","TE",0,0,0,0,0,0,3.9,51.6,0.4,0,"NE"
"Dominique Dafney","TE",0,0,0,0,0,0,7.6,91.6,0.9,0,"GB"
"Donald Parham Jr.","TE",0,0,0,0,0,0.1,21.2,226.4,2.4,0,"LAC"
"Drew Sample","TE",0,0,0,0,0,0.1,10.2,89.3,0.8,0,"CIN"
"Durham Smythe","TE",0,0,0,0,0,0,13.6,132.1,0.7,0,"MIA"
"Eli Wolf","TE",0,0,0,0,0,0,12,122,1,0,"GB"
"Eric Saubert","TE",0,0,0,0,0,0,4.1,38,0.4,0,"DEN"
"Eric Tomlinson","TE",0,0,0,0,0,0,5.9,58.6,0.5,0,"DEN"
"Evan Engram","TE",0,0,0,0,0,0.7,50.3,527.5,3.5,0,"JAC"
"Foster Moreau","TE",0,0,0,0,0,0.1,23.4,266.7,2.6,0,"LV"
"Garrett Griffin","TE",0,0,0,0,0,0,7.9,69.3,0.6,0,"DET"
"Geoff Swaim","TE",0,0,0,0,0,0.1,26,220.8,2.4,0,"TEN"
"George Kittle","TE",0,0,0,0,0,0.8,75.4,920,5.5,0,"SF"
"Gerald Everett","TE",0,0,0,0,0,1.3,54.1,544,4.4,0,"LAC"
"Grant Calcaterra","TE",0,0,0,0,0,0,6.6,66.6,0.7,0,"PHI"
"Greg Dulcich","TE",0,0,0,0,0,0,11.5,119.7,1,0,"DEN"
"Harrison Bryant","TE",0,0,0,0,0,0.1,29.2,309.8,2.9,0,"CLE"
"Hayden Hurst","TE",0,0,0,0,0,0.7,43.8,432.1,3.9,0,"CIN"
"Hunter Henry","TE",0,0,0,0,0,0.1,51.6,569.1,5.8,0,"NE"
"Hunter Kampmoyer","TE",0,0,0,0,0,0,3.9,40,0.4,0,"LAC"
"Hunter Long","TE",0,0,0,0,0,0,2,20,0.2,0,"MIA"
"Ian Thomas","TE",0,0,0,0,0,0.1,19,186.1,1,0,"CAR"
"Irv Smith Jr.","TE",0,0,0,0,0,0.2,51.4,526.3,4.5,0,"MIN"
"Isaiah Likely","TE",0,0,0,0,0,0,6.8,71.2,0.6,0,"BAL"
"J.P. Holtz","TE",0,0,0,0,0,0,0,0,0,0,"NO"
"Jace Sternberger","TE",0,0,0,0,0,0,4.2,40.9,0.3,0,"PIT"
"Jack Stoll","TE",0,0,0,0,0,0,1.7,16.5,0.2,0,"PHI"
"Jacob Harris","TE",0,0,0,0,0,0,8,86.9,0.7,0,"LAR"
"Jacob Hollister","TE",0,0,0,0,0,0,8.5,75,0.7,0,"LV"
"Jake Ferguson","TE",0,0,0,0,0,0,9.6,99.9,0.8,0,"DAL"
"James Mitchell","TE",0,0,0,0,0,0,6.9,62.1,0.6,0,"DET"
"James O'Shaughnessy","TE",0,0,0,0,0,0.1,20.4,214.4,1.1,0,"CHI"
"Jared Pinkney","TE",0,0,0,0,0,0,0.5,4.4,0,0,"LAR"
"Jelani Woods","TE",0,0,0,0,0,0.5,21.6,228.8,2,0,"IND"
"Jeremiah Hall","TE",0,0,0,0,0,1,35,307,2,0,"NYG"
"Jeremy Ruckert","TE",0,0,0,0,0,0,6.8,68.5,0.6,0,"NYJ"
"Jeremy Sprinkle","TE",0,0,0,0,0,0,7.8,79,0.7,0,"DAL"
"Jesper Horsted","TE",0,0,0,0,0,0,6.9,73.8,0.5,0,"LV"
"Jody Fortson","TE",0,0,0,0,0,0,7,76.7,0.7,0,"KC"
"John Bates","TE",0,0,0,0,0,0.1,17.9,207.6,1.3,0,"WAS"
"John FitzPatrick","TE",0,0,0,0,0,0,1.7,17.4,0.1,0,"ATL"
"Johnny Mundt","TE",0,0,0,0,0,0,7,70.6,0.7,0,"MIN"
"Jonnu Smith","TE",0,0,0,0,0,0.1,32.3,350.4,2.5,0,"NE"
"Jordan Akins","TE",0,0,0,0,0,0.6,19.1,182.7,1.1,0,"NYG"
"Jordan Franks","TE",0,0,0,0,0,0,0,0,0,0,"KC"
"Josh Oliver","TE",0,0,0,0,0,0,10.7,92.7,0.9,0,"BAL"
"Josiah Deguara","TE",0,0,0,0,0,0.1,14.2,147.3,1.4,0,"GB"
"Juwan Johnson","TE",0,0,0,0,0,0,6.5,73.4,1,0,"NO"
"Kendall Blanton","TE",0,0,0,0,0,0.5,15.5,162.5,1.4,0,"LAR"
"Kenny Yeboah","TE",0,0,0,0,0,0,11.1,107.5,0.8,0,"NYJ"
"Kevin Rader","TE",0,0,0,0,0,0,8.6,69.7,0.7,0,"PIT"
"Ko Kieft","TE",0,0,0,0,0,0,11.3,114.3,0.9,0,"TB"
"Kyle Markway","TE",0,0,0,0,0,0,12,132,1,0,"LAR"
"Kyle Pitts","TE",0,0,0,0,0,0.7,71.5,960.2,4.4,0,"ATL"
"Kylen Granson","TE",0,0,0,0,0,0.2,18.9,189.5,1.3,0,"IND"
"Logan Thomas","TE",0,0,0,0,0,0.6,50.7,522.5,4.6,0,"WAS"
"Luke Farrell","TE",0,0,0,0,0,0.1,7.6,81,0.6,0,"JAC"
"Marcedes Lewis","TE",0,0,0,0,0,0.5,16.2,154.6,1.2,0,"GB"
"Mark Andrews","TE",0,0,0,0,0,0.8,92.4,1145.1,8.8,0,"BAL"
"Matt Bushman","TE",0,0,0,0,0,0,14,135,1,0,"KC"
"Maxx Williams","TE",0,0,0,0,0,0,14,153.4,0.7,0,"ARI"
"Mike Gesicki","TE",0,0,0,0,0,0.6,61.5,661.5,4.1,0,"MIA"
"Miller Forristall","TE",0,0,0,0,0,0.1,3.5,35,0.3,0,"CLE"
"Mitchell Wilcox","TE",0,0,0,0,0,0,1.8,18.3,0.2,0,"CIN"
"Mo Alie-Cox","TE",0,0,0,0,0,0.1,34.4,424.8,3.3,0,"IND"
"Nakia Griffin-Stewart","TE",0,0,0,0,0,0,3.3,33,0.3,0,"CLE"
"Nick Bowers","TE",0,0,0,0,0,0,4,42.2,0.4,0,"LV"
"Nick Boyle","TE",0,0,0,0,0,0,14.2,132.6,1.3,0,"BAL"
"Nick Eubanks","TE",0,0,0,0,0,0,12,125,1,0,"CIN"
"Nick Muse","TE",0,0,0,0,0,0,6.9,70.7,0.6,0,"MIN"
"Nick Vannett","TE",0,0,0,0,0,0,9.2,101.6,0.8,0,"NO"
"Noah Fant","TE",0,0,0,0,0,0.6,61.5,629.6,3.8,0,"SEA"
"Noah Gray","TE",0,0,0,0,0,0,11.1,106,1,0,"KC"
"Noah Togiai","TE",0,0,0,0,0,0,0,0,0,0,"PHI"
"O.J. Howard","TE",0,0,0,0,0,0.1,21.9,244.6,1.8,0,"BUF"
"Parker Hesse","TE",0,0,0,0,0,0,4.5,44,0.3,0,"ATL"
"Pat Freiermuth","TE",0,0,0,0,0,0.7,62.5,560.4,5.2,0,"PIT"
"Paul Quessenberry","TE",0,0,0,0,0,1,38,340,3,0,"HOU"
"Pharaoh Brown","TE",0,0,0,0,0,0.6,23.9,210.7,1.3,0,"HOU"
"Reggie Gilliam","TE",0,0,0,0,0,0,4.1,39.4,0.4,0,"BUF"
"Richard Rodgers","TE",0,0,0,0,0,0,8.7,86.9,0.8,0,"PHI"
"Ricky Seals-Jones","TE",0,0,0,0,0,0,29.9,291,2.4,0,"NYG"
"Robert Tonyan","TE",0,0,0,0,0,0.1,46.6,511.7,4.4,0,"GB"
"Ross Dwelley","TE",0,0,0,0,0,0,7.4,79,0.7,0,"SF"
"Ryan Griffin","TE",0,0,0,0,0,0,9.9,100,1,0,"CHI"
"Rysen John","TE",0,0,0,0,0,0,10,97,1,0,"CHI"
"Sammis Reyes","TE",0,0,0,0,0,0,0.9,8.9,0.1,0,"WAS"
"Sean McKeon","TE",0,0,0,0,0,0.1,6.8,68.4,0.6,0,"DAL"
"Stephen Anderson","TE",0,0,0,0,0,0,8.1,83.9,0.7,0,"ARI"
"Stephen Sullivan","TE",0,0,0,0,0,0,1.9,19.1,0.1,0,"CAR"
"T.J. Hockenson","TE",0,0,0,0,0,0.7,67.8,698.2,5.1,0,"DET"
"Tanner Hudson","TE",0,0,0,0,0,0,0,0,0,0,"SF"
"Taysom Hill","TE",0,0,0,0,0,0,9,95,2,0,"NO"
"Teagan Quitoriano","TE",0,0,0,0,0,0,4.1,41.8,0.3,0,"HOU"
"Tommy Hudson","TE",0,0,0,0,0,0,2.7,27.6,0.2,0,"TEN"
"Tommy Sweeney","TE",0,0,0,0,0,0,5.2,48.5,0.5,0,"BUF"
"Tommy Tremble","TE",0,0,0,0,0,0.1,25.3,256.8,1.9,0,"CAR"
"Travis Kelce","TE",0,0,0,0,0,0.8,101.3,1203.5,9,0,"KC"
"Tre' McKitty","TE",0,0,0,0,0,0,8.4,80.9,0.5,0,"LAC"
"Trevon Wesco","TE",0,0,0,0,0,0,0,0,0,0,"NYJ"
"Trey McBride","TE",0,0,0,0,0,0.5,17.5,178.1,1.5,0,"ARI"
"Troy Fumagalli","TE",0,0,0,0,0,0,0,0,0,0,"SF"
"Tyler Conklin","TE",0,0,0,0,0,0.1,32.5,320.8,2,0,"NYJ"
"Tyler Higbee","TE",0,0,0,0,0,0.7,57.4,578.8,4.6,0,"LAR"
"Tyler Kroft","TE",0,0,0,0,0,0,10.9,124.3,0.8,0,"SF"
"Tyler Mabry","TE",0,0,0,0,0,0,3.6,36.5,0.2,0,"SEA"
"Tyree Jackson","TE",0,0,0,0,0,0.1,6.5,64.6,0.7,0,"PHI"
"Will Dissly","TE",0,0,0,0,0,0.1,18.5,192.1,1.2,0,"SEA"
"Zach Ertz","TE",0,0,0,0,0,0.6,61,632.8,4.7,0,"ARI"
"Zach Gentry","TE",0,0,0,0,0,0,9.9,89.5,0.7,0,"PIT"
