player,position,game_num,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked,safety_md,def_int,def_int_yds,def_int_td,year
Miles Austin,WR,3,NA,NA,NA,NA,5,2,22,11,0,40.00%,4.4,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,6,NA,NA,NA,NA,4,0,0,NA,0,0.00%,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,7,NA,NA,NA,NA,3,0,0,NA,0,0.00%,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,11,NA,NA,NA,NA,3,1,17,17,0,33.30%,5.67,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,12,NA,NA,NA,NA,5,1,18,18,0,20.00%,3.6,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,13,NA,NA,NA,NA,4,2,19,9.5,0,50.00%,4.75,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,14,NA,NA,NA,NA,4,2,35,17.5,0,50.00%,8.75,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,15,NA,NA,NA,NA,2,1,8,8,0,50.00%,4,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,16,NA,NA,NA,NA,3,2,22,11,0,66.70%,7.33,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Miles Austin,WR,NA,NA,NA,NA,NA,49,24,244,10.17,0,49.00%,4.98,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013
Tavon Austin,WR,1,1,-1,-1,0,7,6,41,6.83,0,85.70%,5.86,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,0,0,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,2013
Tavon Austin,WR,2,2,8,4,0,12,6,47,7.83,2,50.00%,3.92,2,12,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,0,0,NA,0,4,6,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,2013
Tavon Austin,WR,3,1,3,3,0,7,6,30,5,0,85.70%,4.29,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,0,0,NA,0,2,16,8,0,NA,NA,NA,NA,NA,NA,NA,NA,2013
Tavon Austin,WR,4,0,0,NA,0,8,2,6,3,0,25.00%,0.75,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,NA,NA,NA,0,0,NA,0,6,19,3.17,0,NA,NA,NA,NA,NA,NA,NA,NA,2013
